Preprocessing,Model,Precision,Recall,F1-score,Accuracy
Count Vectorize,Naive Bayes,0.6195167328219134,0.598621217924167,0.6006092294395983,0.598621217924167
Count Vectorize,Logistic Regression c = 0.1,0.6250394609319805,0.6150900038299502,0.6178115715547396,0.6150900038299502
Count Vectorize,LightGBM,0.5278271066253024,0.49176560704710837,0.4853428456006566,0.49176560704710837
TF-IDF 1-grams,Naive Bayes,0.7047511094615803,0.6497326203208557,0.6643599595814934,0.6497326203208557
TF-IDF 1-grams,Logistic Regression c = 0.1,0.7633545007311618,0.7112299465240641,0.7302521071678334,0.7112299465240641
TF-IDF 1-grams,LightGBM,0.6245349557746036,0.606951871657754,0.6094865344896524,0.606951871657754
Word2vec,Logistic Regression c = 0.1,0.7158267752293133,0.68162639048715,0.6949470325727426,0.68162639048715
