Id,Price,Year,Mileage,Volume,Gearbox,Private,3-doors
151,480000,2011,136000,1.4,M,1,1
152,459000,2012,114829,1.6,M,0,0
153,400000,2010,89906,1.6,A,0,0
154,450000,2009,139000,1.4,A,1,0
155,630000,2012,56000,1.6,A,1,0
156,490000,2010,88000,1.4,A,1,0
157,599999,2012,77581,1.2,A,0,0
158,460000,2011,85758,1.2,A,1,0
159,450000,2010,150000,1.6,A,1,0
160,497700,2011,75000,1.6,A,0,0
161,400000,2009,71000,1.6,A,1,0
162,420000,2011,107800,1.4,A,1,0
163,515000,2012,70000,1.4,A,1,0
164,450000,2010,112000,1.4,A,1,0
165,430000,2010,130000,1.4,M,1,1
166,400000,2010,182500,1.4,A,0,0
167,485000,2011,115000,1.6,A,0,0
168,440000,2010,120000,1.6,A,0,0
169,430000,2011,150000,1.4,M,1,0
170,500000,2012,50000,1.4,A,1,0
171,509000,2010,150000,1.4,A,1,0
172,490000,2010,75000,1.6,A,1,0
173,350000,2010,79300,1.6,A,1,0
174,470000,2009,120000,1.4,A,1,0
175,520000,2011,111000,1.4,M,1,1
176,385000,2011,125000,1.2,M,1,0
177,410000,2010,51000,1.2,A,1,0
178,470000,2011,96000,1.6,A,1,0
179,420000,2012,154000,1.6,M,1,1
180,480000,2011,95000,1.4,A,1,0
181,435000,2011,114503,1.6,A,0,0
182,530000,2012,72750,1.4,A,1,0
183,510000,2011,130000,1.4,A,1,0
184,420000,2010,110000,1.6,A,1,0
185,400000,2010,120000,1.6,A,1,0
186,480000,2012,108000,1.4,A,1,0
187,420000,2010,122000,1.4,A,1,0
188,585000,2011,74000,1.4,A,1,0
189,555000,2012,68000,1.4,M,1,0
190,470000,2011,141000,1.4,A,1,0
191,541000,2012,73000,1.4,A,1,0
192,375000,2009,115000,1.4,M,1,1
193,515000,2011,110000,1.4,M,1,0
194,525000,2010,99500,1.4,A,1,0
195,380000,2010,115000,1.6,A,1,0
196,528000,2011,79000,1.6,M,0,0
197,620000,2012,98000,1.4,A,1,0
198,490000,2012,90000,1.4,M,1,0
199,530000,2011,114000,1.2,M,1,0
200,450000,2009,233000,1.4,A,1,0
201,435000,2010,153000,1.4,A,1,1
202,519000,2011,103200,1.4,A,1,0
203,440000,2010,102000,1.4,M,1,0
204,520000,2010,92000,1.4,A,1,0
205,450000,2010,85000,1.4,A,1,0
206,600000,2012,61000,1.6,M,1,0
207,550000,2012,71000,1.4,M,1,0
208,590000,2012,62000,1.6,A,1,0
209,480000,2011,69000,1.6,A,1,0
210,520000,2011,131000,1.4,A,1,0
211,525000,2012,80000,1.6,A,1,0
212,500000,2010,103000,1.6,A,1,0
213,499000,2012,75000,1.6,A,0,0
214,800000,2012,160000,1.8,A,1,0
215,450000,2011,130000,1.4,M,1,0
216,560000,2011,94000,1.4,A,1,0
217,450000,2011,125791,1.4,M,1,1
218,470000,2011,82100,1.4,M,1,0
219,445000,2011,98000,1.4,M,1,0
220,400000,2011,120000,1.4,M,1,0
221,400000,2011,71000,1.4,A,0,0
222,425000,2010,86345,1.6,A,1,0
223,450000,2010,170300,1.6,M,1,0
224,470000,2011,97000,1.4,M,1,0
225,499000,2010,126000,1.4,M,1,0
226,525000,2012,41000,1.6,A,1,0
