POS,NO,DRIVER,CAR,Q1,Q2,Q3,LAPS,RACE_NO,SEASON,TRACK
13,14,Fernando Alonso,MCLAREN HONDA,1:39.134,1:38.202,,11,13,2017,Monza
14,26,Daniil Kvyat,TORO ROSSO,1:39.183,1:38.245,,21,13,2017,Monza
15,55,Carlos Sainz,TORO ROSSO,1:39.788,1:38.526,,21,13,2017,Monza
16,20,Kevin Magnussen,HAAS FERRARI,1:40.489,,,12,13,2017,Monza
17,30,Jolyon Palmer,RENAULT,1:40.646,,,10,13,2017,Monza
18,9,Marcus Ericsson,SAUBER FERRARI,1:41.732,,,11,13,2017,Monza
19,94,Pascal Wehrlein,SAUBER FERRARI,1:41.875,,,9,13,2017,Monza
20,8,Romain Grosjean,HAAS FERRARI,1:43.355,,,3,13,2017,Monza
1,5,Sebastian Vettel,FERRARI,1:43.336,1:40.529,1:39.491,19,14,2017,Marina Bay
2,33,Max Verstappen,RED BULL RACING TAG HEUER,1:42.010,1:40.332,1:39.814,18,14,2017,Marina Bay
3,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:42.063,1:40.385,1:39.840,18,14,2017,Marina Bay
4,7,Kimi Räikkönen,FERRARI,1:43.328,1:40.525,1:40.069,18,14,2017,Marina Bay
5,44,Lewis Hamilton,MERCEDES,1:42.455,1:40.577,1:40.126,17,14,2017,Marina Bay
6,77,Valtteri Bottas,MERCEDES,1:43.137,1:41.409,1:40.810,16,14,2017,Marina Bay
7,27,Nico Hulkenberg,RENAULT,1:42.586,1:41.277,1:41.013,18,14,2017,Marina Bay
8,14,Fernando Alonso,MCLAREN HONDA,1:42.086,1:41.442,1:41.179,20,14,2017,Marina Bay
9,2,Stoffel Vandoorne,MCLAREN HONDA,1:42.222,1:41.227,1:41.398,19,14,2017,Marina Bay
10,55,Carlos Sainz,TORO ROSSO,1:42.176,1:41.826,1:42.056,20,14,2017,Marina Bay
11,30,Jolyon Palmer,RENAULT,1:42.472,1:42.107,,12,14,2017,Marina Bay
12,11,Sergio Perez,FORCE INDIA MERCEDES,1:43.594,1:42.246,,8,14,2017,Marina Bay
13,26,Daniil Kvyat,TORO ROSSO,1:42.544,1:42.338,,14,14,2017,Marina Bay
14,31,Esteban Ocon,FORCE INDIA MERCEDES,1:43.626,1:42.760,,11,14,2017,Marina Bay
15,8,Romain Grosjean,HAAS FERRARI,1:43.627,1:43.883,,13,14,2017,Marina Bay
16,20,Kevin Magnussen,HAAS FERRARI,1:43.756,,,8,14,2017,Marina Bay
17,19,Felipe Massa,WILLIAMS MERCEDES,1:44.014,,,6,14,2017,Marina Bay
18,18,Lance Stroll,WILLIAMS MERCEDES,1:44.728,,,9,14,2017,Marina Bay
19,94,Pascal Wehrlein,SAUBER FERRARI,1:45.059,,,9,14,2017,Marina Bay
20,9,Marcus Ericsson,SAUBER FERRARI,1:45.570,,,6,14,2017,Marina Bay
1,44,Lewis Hamilton,MERCEDES,1:31.605,1:30.977,1:30.076,18,15,2017,Sepang
2,7,Kimi Räikkönen,FERRARI,1:32.259,1:30.926,1:30.121,14,15,2017,Sepang
3,33,Max Verstappen,RED BULL RACING TAG HEUER,1:31.920,1:30.931,1:30.541,12,15,2017,Sepang
4,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:32.416,1:31.061,1:30.595,16,15,2017,Sepang
5,77,Valtteri Bottas,MERCEDES,1:32.254,1:30.803,1:30.758,17,15,2017,Sepang
6,31,Esteban Ocon,FORCE INDIA MERCEDES,1:32.527,1:31.651,1:31.478,17,15,2017,Sepang
7,2,Stoffel Vandoorne,MCLAREN HONDA,1:32.838,1:31.848,1:31.582,18,15,2017,Sepang
8,27,Nico Hulkenberg,RENAULT,1:32.586,1:31.778,1:31.607,17,15,2017,Sepang
9,11,Sergio Perez,FORCE INDIA MERCEDES,1:32.768,1:31.484,1:31.658,18,15,2017,Sepang
10,14,Fernando Alonso,MCLAREN HONDA,1:33.049,1:32.010,1:31.704,17,15,2017,Sepang
11,19,Felipe Massa,WILLIAMS MERCEDES,1:32.267,1:32.034,,12,15,2017,Sepang
12,30,Jolyon Palmer,RENAULT,1:32.576,1:32.100,,14,15,2017,Sepang
13,18,Lance Stroll,WILLIAMS MERCEDES,1:33.000,1:32.307,,14,15,2017,Sepang
14,55,Carlos Sainz,TORO ROSSO,1:32.650,1:32.402,,14,15,2017,Sepang
15,10,Pierre Gasly,TORO ROSSO,1:32.547,1:32.558,,14,15,2017,Sepang
16,8,Romain Grosjean,HAAS FERRARI,1:33.308,,,8,15,2017,Sepang
17,20,Kevin Magnussen,HAAS FERRARI,1:33.434,,,6,15,2017,Sepang
18,94,Pascal Wehrlein,SAUBER FERRARI,1:33.483,,,9,15,2017,Sepang
19,9,Marcus Ericsson,SAUBER FERRARI,1:33.970,,,9,15,2017,Sepang
20,5,Sebastian Vettel,FERRARI,DNF,,,2,15,2017,Sepang
1,44,Lewis Hamilton,MERCEDES,1:29.047,1:27.819,1:27.319,18,16,2017,Suzuka
2,77,Valtteri Bottas,MERCEDES,1:29.332,1:28.543,1:27.651,17,16,2017,Suzuka
3,5,Sebastian Vettel,FERRARI,1:29.352,1:28.225,1:27.791,19,16,2017,Suzuka
4,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:29.475,1:28.935,1:28.306,13,16,2017,Suzuka
5,33,Max Verstappen,RED BULL RACING TAG HEUER,1:29.181,1:28.747,1:28.332,12,16,2017,Suzuka
6,7,Kimi Räikkönen,FERRARI,1:29.163,1:29.079,1:28.498,15,16,2017,Suzuka
7,31,Esteban Ocon,FORCE INDIA MERCEDES,1:30.115,1:29.199,1:29.111,16,16,2017,Suzuka
8,11,Sergio Perez,FORCE INDIA MERCEDES,1:29.696,1:29.343,1:29.260,17,16,2017,Suzuka
9,19,Felipe Massa,WILLIAMS MERCEDES,1:30.352,1:29.687,1:29.480,16,16,2017,Suzuka
10,14,Fernando Alonso,MCLAREN HONDA,1:30.525,1:29.749,1:30.687,13,16,2017,Suzuka
11,2,Stoffel Vandoorne,MCLAREN HONDA,1:30.654,1:29.778,,11,16,2017,Suzuka
12,27,Nico Hulkenberg,RENAULT,1:30.252,1:29.879,,10,16,2017,Suzuka
13,20,Kevin Magnussen,HAAS FERRARI,1:30.774,1:29.972,,11,16,2017,Suzuka
14,30,Jolyon Palmer,RENAULT,1:30.516,1:30.022,,10,16,2017,Suzuka
15,55,Carlos Sainz,TORO ROSSO,1:30.565,1:30.413,,11,16,2017,Suzuka
16,8,Romain Grosjean,HAAS FERRARI,1:30.849,,,5,16,2017,Suzuka
17,10,Pierre Gasly,TORO ROSSO,1:31.317,,,7,16,2017,Suzuka
18,18,Lance Stroll,WILLIAMS MERCEDES,1:31.409,,,6,16,2017,Suzuka
19,9,Marcus Ericsson,SAUBER FERRARI,1:31.597,,,7,16,2017,Suzuka
20,94,Pascal Wehrlein,SAUBER FERRARI,1:31.885,,,7,16,2017,Suzuka
1,44,Lewis Hamilton,MERCEDES,1:34.822,1:33.437,1:33.108,18,17,2017,Circuit of the Americas
2,5,Sebastian Vettel,FERRARI,1:35.420,1:34.103,1:33.347,18,17,2017,Circuit of the Americas
3,77,Valtteri Bottas,MERCEDES,1:35.309,1:33.769,1:33.568,17,17,2017,Circuit of the Americas
4,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:35.991,1:34.495,1:33.577,14,17,2017,Circuit of the Americas
5,7,Kimi Räikkönen,FERRARI,1:35.649,1:33.840,1:33.577,17,17,2017,Circuit of the Americas
6,33,Max Verstappen,RED BULL RACING TAG HEUER,1:34.899,1:34.716,1:33.658,13,17,2017,Circuit of the Americas
7,31,Esteban Ocon,FORCE INDIA MERCEDES,1:35.849,1:35.113,1:34.647,17,17,2017,Circuit of the Americas
8,55,Carlos Sainz,RENAULT,1:35.517,1:34.899,1:34.852,17,17,2017,Circuit of the Americas
9,14,Fernando Alonso,MCLAREN HONDA,1:35.712,1:35.046,1:35.007,15,17,2017,Circuit of the Americas
10,11,Sergio Perez,FORCE INDIA MERCEDES,1:36.358,1:34.789,1:35.148,19,17,2017,Circuit of the Americas
11,19,Felipe Massa,WILLIAMS MERCEDES,1:35.603,1:35.155,,9,17,2017,Circuit of the Americas
12,26,Daniil Kvyat,TORO ROSSO,1:36.073,1:35.529,,15,17,2017,Circuit of the Americas
13,2,Stoffel Vandoorne,MCLAREN HONDA,1:36.286,1:35.641,,14,17,2017,Circuit of the Americas
14,8,Romain Grosjean,HAAS FERRARI,1:36.835,1:35.870,,14,17,2017,Circuit of the Americas
15,27,Nico Hulkenberg,RENAULT,1:35.740,,,3,17,2017,Circuit of the Americas
16,9,Marcus Ericsson,SAUBER FERRARI,1:36.842,,,9,17,2017,Circuit of the Americas
17,18,Lance Stroll,WILLIAMS MERCEDES,1:36.868,,,8,17,2017,Circuit of the Americas
18,39,Brendon Hartley,TORO ROSSO,1:36.889,,,7,17,2017,Circuit of the Americas
19,94,Pascal Wehrlein,SAUBER FERRARI,1:37.179,,,9,17,2017,Circuit of the Americas
20,20,Kevin Magnussen,HAAS FERRARI,1:37.394,,,7,17,2017,Circuit of the Americas
1,5,Sebastian Vettel,FERRARI,1:17.665,1:16.870,1:16.488,20,18,2017,Hermanos Rodrigues
2,33,Max Verstappen,RED BULL RACING TAG HEUER,1:17.630,1:16.524,1:16.574,19,18,2017,Hermanos Rodrigues
3,44,Lewis Hamilton,MERCEDES,1:17.518,1:17.035,1:16.934,21,18,2017,Hermanos Rodrigues
4,77,Valtteri Bottas,MERCEDES,1:17.578,1:17.161,1:16.958,17,18,2017,Hermanos Rodrigues
5,7,Kimi Räikkönen,FERRARI,1:18.148,1:17.534,1:17.238,20,18,2017,Hermanos Rodrigues
6,31,Esteban Ocon,FORCE INDIA MERCEDES,1:18.336,1:17.827,1:17.437,19,18,2017,Hermanos Rodrigues
7,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:18.208,1:17.631,1:17.447,15,18,2017,Hermanos Rodrigues
8,27,Nico Hulkenberg,RENAULT,1:18.322,1:17.792,1:17.466,17,18,2017,Hermanos Rodrigues
9,55,Carlos Sainz,RENAULT,1:18.405,1:17.753,1:17.794,17,18,2017,Hermanos Rodrigues
10,11,Sergio Perez,FORCE INDIA MERCEDES,1:18.020,1:17.868,1:17.807,19,18,2017,Hermanos Rodrigues
11,19,Felipe Massa,WILLIAMS MERCEDES,1:18.570,1:18.099,,10,18,2017,Hermanos Rodrigues
12,18,Lance Stroll,WILLIAMS MERCEDES,1:18.902,1:19.159,,11,18,2017,Hermanos Rodrigues
13,28,Brendon Hartley,TORO ROSSO,1:18.683,DNF,,12,18,2017,Hermanos Rodrigues
14,14,Fernando Alonso,MCLAREN HONDA,1:17.710,DNF,,9,18,2017,Hermanos Rodrigues
15,2,Stoffel Vandoorne,MCLAREN HONDA,1:18.578,DNF,,13,18,2017,Hermanos Rodrigues
16,9,Marcus Ericsson,SAUBER FERRARI,1:19.176,,,9,18,2017,Hermanos Rodrigues
17,94,Pascal Wehrlein,SAUBER FERRARI,1:19.333,,,9,18,2017,Hermanos Rodrigues
18,20,Kevin Magnussen,HAAS FERRARI,1:19.443,,,10,18,2017,Hermanos Rodrigues
19,8,Romain Grosjean,HAAS FERRARI,1:19.473,,,11,18,2017,Hermanos Rodrigues
20,10,Pierre Gasly,TORO ROSSO,DNF,,,0,18,2017,Hermanos Rodrigues
1,77,Valtteri Bottas,MERCEDES,1:09.452,1:08.638,1:08.322,22,19,2017,Interlagos
2,5,Sebastian Vettel,FERRARI,1:09.643,1:08.494,1:08.360,21,19,2017,Interlagos
3,7,Kimi Räikkönen,FERRARI,1:09.405,1:09.116,1:08.538,18,19,2017,Interlagos
4,33,Max Verstappen,RED BULL RACING TAG HEUER,1:09.820,1:09.050,1:08.925,18,19,2017,Interlagos
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:09.828,1:09.533,1:09.330,19,19,2017,Interlagos
6,11,Sergio Perez,FORCE INDIA MERCEDES,1:10.145,1:09.760,1:09.598,21,19,2017,Interlagos
7,14,Fernando Alonso,MCLAREN HONDA,1:10.172,1:09.593,1:09.617,17,19,2017,Interlagos
8,27,Nico Hulkenberg,RENAULT,1:10.078,1:09.726,1:09.703,21,19,2017,Interlagos
9,55,Carlos Sainz,RENAULT,1:10.227,1:09.768,1:09.805,17,19,2017,Interlagos
10,19,Felipe Massa,WILLIAMS MERCEDES,1:09.789,1:09.612,1:09.841,16,19,2017,Interlagos
11,31,Esteban Ocon,FORCE INDIA MERCEDES,1:10.168,1:09.830,,17,19,2017,Interlagos
12,8,Romain Grosjean,HAAS FERRARI,1:10.148,1:09.879,,16,19,2017,Interlagos
13,2,Stoffel Vandoorne,MCLAREN HONDA,1:10.286,1:10.116,,15,19,2017,Interlagos
14,20,Kevin Magnussen,HAAS FERRARI,1:10.521,1:10.154,,18,19,2017,Interlagos
15,28,Brendon Hartley,TORO ROSSO,1:10.625,DNF,,15,19,2017,Interlagos
16,94,Pascal Wehrlein,SAUBER FERRARI,1:10.678,,,12,19,2017,Interlagos
17,10,Pierre Gasly,TORO ROSSO,1:10.686,,,10,19,2017,Interlagos
18,18,Lance Stroll,WILLIAMS MERCEDES,1:10.776,,,8,19,2017,Interlagos
19,9,Marcus Ericsson,SAUBER FERRARI,1:10.875,,,12,19,2017,Interlagos
20,44,Lewis Hamilton,MERCEDES,DNF,,,2,19,2017,Interlagos
1,77,Valtteri Bottas,MERCEDES,1:37.356,1:36.822,1:36.231,18,20,2017,Yas Marina
2,44,Lewis Hamilton,MERCEDES,1:37.391,1:36.742,1:36.403,19,20,2017,Yas Marina
3,5,Sebastian Vettel,FERRARI,1:37.817,1:37.023,1:36.777,18,20,2017,Yas Marina
4,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:38.016,1:37.583,1:36.959,16,20,2017,Yas Marina
5,7,Kimi Räikkönen,FERRARI,1:37.453,1:37.302,1:36.985,17,20,2017,Yas Marina
6,33,Max Verstappen,RED BULL RACING TAG HEUER,1:38.021,1:37.777,1:37.328,19,20,2017,Yas Marina
7,27,Nico Hulkenberg,RENAULT,1:38.781,1:38.138,1:38.282,14,20,2017,Yas Marina
8,11,Sergio Perez,FORCE INDIA MERCEDES,1:38.601,1:38.359,1:38.374,17,20,2017,Yas Marina
9,31,Esteban Ocon,FORCE INDIA MERCEDES,1:38.896,1:38.392,1:38.397,17,20,2017,Yas Marina
10,19,Felipe Massa,WILLIAMS MERCEDES,1:38.629,1:38.565,1:38.550,18,20,2017,Yas Marina
11,14,Fernando Alonso,MCLAREN HONDA,1:38.820,1:38.636,,12,20,2017,Yas Marina
12,55,Carlos Sainz,RENAULT,1:38.810,1:38.725,,9,20,2017,Yas Marina
13,2,Stoffel Vandoorne,MCLAREN HONDA,1:38.777,1:38.808,,9,20,2017,Yas Marina
14,20,Kevin Magnussen,HAAS FERRARI,1:39.395,1:39.298,,16,20,2017,Yas Marina
15,18,Lance Stroll,WILLIAMS MERCEDES,1:39.503,1:39.646,,14,20,2017,Yas Marina
16,8,Romain Grosjean,HAAS FERRARI,1:39.516,,,10,20,2017,Yas Marina
17,10,Pierre Gasly,TORO ROSSO,1:39.724,,,9,20,2017,Yas Marina
18,94,Pascal Wehrlein,SAUBER FERRARI,1:39.930,,,9,20,2017,Yas Marina
19,9,Marcus Ericsson,SAUBER FERRARI,1:39.994,,,9,20,2017,Yas Marina
20,28,Brendon Hartley,TORO ROSSO,1:40.471,,,8,20,2017,Yas Marina
1,44,Lewis Hamilton,MERCEDES,1:22.824,1:22.051,1:21.164,20,1,2018,Albert Park
2,7,Kimi Räikkönen,FERRARI,1:23.096,1:22.507,1:21.828,17,1,2018,Albert Park
3,5,Sebastian Vettel,FERRARI,1:23.348,1:21.944,1:21.838,20,1,2018,Albert Park
4,33,Max Verstappen,RED BULL RACING TAG HEUER,1:23.483,1:22.416,1:21.879,18,1,2018,Albert Park
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:23.494,1:22.897,1:22.152,17,1,2018,Albert Park
6,20,Kevin Magnussen,HAAS FERRARI,1:23.909,1:23.300,1:23.187,17,1,2018,Albert Park
7,8,Romain Grosjean,HAAS FERRARI,1:23.671,1:23.468,1:23.339,17,1,2018,Albert Park
8,27,Nico Hulkenberg,RENAULT,1:23.782,1:23.544,1:23.532,16,1,2018,Albert Park
9,55,Carlos Sainz,RENAULT,1:23.529,1:23.061,1:23.577,17,1,2018,Albert Park
10,77,Valtteri Bottas,MERCEDES,1:23.686,1:22.089,DNF,16,1,2018,Albert Park
11,14,Fernando Alonso,MCLAREN RENAULT,1:23.597,1:23.692,,14,1,2018,Albert Park
12,2,Stoffel Vandoorne,MCLAREN RENAULT,1:24.073,1:23.853,,14,1,2018,Albert Park
13,11,Sergio Perez,FORCE INDIA MERCEDES,1:24.344,1:24.005,,14,1,2018,Albert Park
14,18,Lance Stroll,WILLIAMS MERCEDES,1:24.464,1:24.230,,13,1,2018,Albert Park
15,31,Esteban Ocon,FORCE INDIA MERCEDES,1:24.503,1:24.786,,16,1,2018,Albert Park
16,28,Brendon Hartley,SCUDERIA TORO ROSSO HONDA,1:24.532,,,8,1,2018,Albert Park
17,9,Marcus Ericsson,SAUBER FERRARI,1:24.556,,,9,1,2018,Albert Park
18,16,Charles Leclerc,SAUBER FERRARI,1:24.636,,,9,1,2018,Albert Park
19,35,Sergey Sirotkin,WILLIAMS MERCEDES,1:24.922,,,8,1,2018,Albert Park
20,10,Pierre Gasly,SCUDERIA TORO ROSSO HONDA,1:25.295,,,7,1,2018,Albert Park
1,5,Sebastian Vettel,FERRARI,1:29.060,1:28.341,1:27.958,13,2,2018,Bahrain International Circuit
2,7,Kimi Räikkönen,FERRARI,1:28.951,1:28.515,1:28.101,13,2,2018,Bahrain International Circuit
3,77,Valtteri Bottas,MERCEDES,1:29.275,1:28.794,1:28.124,16,2,2018,Bahrain International Circuit
4,44,Lewis Hamilton,MERCEDES,1:29.396,1:28.458,1:28.220,16,2,2018,Bahrain International Circuit
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:29.552,1:28.962,1:28.398,12,2,2018,Bahrain International Circuit
6,10,Pierre Gasly,SCUDERIA TORO ROSSO HONDA,1:30.121,1:29.836,1:29.329,18,2,2018,Bahrain International Circuit
7,20,Kevin Magnussen,HAAS FERRARI,1:29.594,1:29.623,1:29.358,16,2,2018,Bahrain International Circuit
8,27,Nico Hulkenberg,RENAULT,1:30.260,1:29.187,1:29.570,15,2,2018,Bahrain International Circuit
9,31,Esteban Ocon,FORCE INDIA MERCEDES,1:30.338,1:30.009,1:29.874,16,2,2018,Bahrain International Circuit
10,55,Carlos Sainz,RENAULT,1:29.893,1:29.802,1:29.986,18,2,2018,Bahrain International Circuit
11,28,Brendon Hartley,SCUDERIA TORO ROSSO HONDA,1:30.412,1:30.105,,15,2,2018,Bahrain International Circuit
12,11,Sergio Perez,FORCE INDIA MERCEDES,1:30.218,1:30.156,,11,2,2018,Bahrain International Circuit
13,14,Fernando Alonso,MCLAREN RENAULT,1:30.530,1:30.212,,12,2,2018,Bahrain International Circuit
14,2,Stoffel Vandoorne,MCLAREN RENAULT,1:30.479,1:30.525,,12,2,2018,Bahrain International Circuit
15,33,Max Verstappen,RED BULL RACING TAG HEUER,1:29.374,,,4,2,2018,Bahrain International Circuit
16,8,Romain Grosjean,HAAS FERRARI,1:30.530,,,7,2,2018,Bahrain International Circuit
17,9,Marcus Ericsson,SAUBER FERRARI,1:31.063,,,9,2,2018,Bahrain International Circuit
18,35,Sergey Sirotkin,WILLIAMS MERCEDES,1:31.414,,,8,2,2018,Bahrain International Circuit
19,16,Charles Leclerc,SAUBER FERRARI,1:31.420,,,8,2,2018,Bahrain International Circuit
20,18,Lance Stroll,WILLIAMS MERCEDES,1:31.503,,,8,2,2018,Bahrain International Circuit
1,5,Sebastian Vettel,FERRARI,1:32.171,1:32.385,1:31.095,15,3,2018,Shanghai International Circuit
2,7,Kimi Räikkönen,FERRARI,1:32.474,1:32.286,1:31.182,17,3,2018,Shanghai International Circuit
3,77,Valtteri Bottas,MERCEDES,1:32.921,1:32.063,1:31.625,20,3,2018,Shanghai International Circuit
4,44,Lewis Hamilton,MERCEDES,1:33.283,1:31.914,1:31.675,17,3,2018,Shanghai International Circuit
5,33,Max Verstappen,RED BULL RACING TAG HEUER,1:32.932,1:32.809,1:31.796,12,3,2018,Shanghai International Circuit
6,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:33.877,1:32.688,1:31.948,12,3,2018,Shanghai International Circuit
7,27,Nico Hulkenberg,RENAULT,1:33.545,1:32.494,1:32.532,15,3,2018,Shanghai International Circuit
8,11,Sergio Perez,FORCE INDIA MERCEDES,1:33.464,1:32.931,1:32.758,13,3,2018,Shanghai International Circuit
9,55,Carlos Sainz,RENAULT,1:33.315,1:32.970,1:32.819,18,3,2018,Shanghai International Circuit
10,8,Romain Grosjean,HAAS FERRARI,1:33.238,1:32.524,1:32.855,19,3,2018,Shanghai International Circuit
11,20,Kevin Magnussen,HAAS FERRARI,1:33.359,1:32.986,,13,3,2018,Shanghai International Circuit
12,31,Esteban Ocon,FORCE INDIA MERCEDES,1:33.585,1:33.057,,9,3,2018,Shanghai International Circuit
13,14,Fernando Alonso,MCLAREN RENAULT,1:33.428,1:33.232,,11,3,2018,Shanghai International Circuit
14,2,Stoffel Vandoorne,MCLAREN RENAULT,1:33.824,1:33.505,,11,3,2018,Shanghai International Circuit
15,28,Brendon Hartley,SCUDERIA TORO ROSSO HONDA,1:34.013,1:33.795,,15,3,2018,Shanghai International Circuit
16,35,Sergey Sirotkin,WILLIAMS MERCEDES,1:34.062,,,7,3,2018,Shanghai International Circuit
17,10,Pierre Gasly,SCUDERIA TORO ROSSO HONDA,1:34.101,,,9,3,2018,Shanghai International Circuit
18,18,Lance Stroll,WILLIAMS MERCEDES,1:34.285,,,7,3,2018,Shanghai International Circuit
19,16,Charles Leclerc,SAUBER FERRARI,1:34.454,,,9,3,2018,Shanghai International Circuit
20,9,Marcus Ericsson,SAUBER FERRARI,1:34.914,,,9,3,2018,Shanghai International Circuit
1,5,Sebastian Vettel,FERRARI,1:42.762,1:43.015,1:41.498,19,4,2018,Baku City Circuit
2,44,Lewis Hamilton,MERCEDES,1:42.693,1:42.676,1:41.677,21,4,2018,Baku City Circuit
3,77,Valtteri Bottas,MERCEDES,1:43.355,1:42.679,1:41.837,21,4,2018,Baku City Circuit
4,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:42.857,1:43.482,1:41.911,20,4,2018,Baku City Circuit
5,33,Max Verstappen,RED BULL RACING TAG HEUER,1:42.642,1:42.901,1:41.994,19,4,2018,Baku City Circuit
6,7,Kimi Räikkönen,FERRARI,1:42.538,1:42.510,1:42.490,20,4,2018,Baku City Circuit
7,31,Esteban Ocon,FORCE INDIA MERCEDES,1:43.021,1:42.967,1:42.523,20,4,2018,Baku City Circuit
8,11,Sergio Perez,FORCE INDIA MERCEDES,1:43.992,1:43.366,1:42.547,20,4,2018,Baku City Circuit
9,27,Nico Hulkenberg,RENAULT,1:43.746,1:43.232,1:43.066,20,4,2018,Baku City Circuit
10,55,Carlos Sainz,RENAULT,1:43.426,1:43.464,1:43.351,20,4,2018,Baku City Circuit
11,18,Lance Stroll,WILLIAMS MERCEDES,1:44.359,1:43.585,,16,4,2018,Baku City Circuit
12,35,Sergey Sirotkin,WILLIAMS MERCEDES,1:44.261,1:43.886,,17,4,2018,Baku City Circuit
13,14,Fernando Alonso,MCLAREN RENAULT,1:44.010,1:44.019,,16,4,2018,Baku City Circuit
14,16,Charles Leclerc,SAUBER FERRARI,1:43.752,1:44.074,,17,4,2018,Baku City Circuit
15,20,Kevin Magnussen,HAAS FERRARI,1:43.674,1:44.759,,14,4,2018,Baku City Circuit
16,2,Stoffel Vandoorne,MCLAREN RENAULT,1:44.489,,,8,4,2018,Baku City Circuit
17,10,Pierre Gasly,SCUDERIA TORO ROSSO HONDA,1:44.496,,,9,4,2018,Baku City Circuit
18,9,Marcus Ericsson,SAUBER FERRARI,1:45.541,,,10,4,2018,Baku City Circuit
19,28,Brendon Hartley,SCUDERIA TORO ROSSO HONDA,1:57.354,,,5,4,2018,Baku City Circuit
20,8,Romain Grosjean,HAAS FERRARI,DNF,,,2,4,2018,Baku City Circuit
1,44,Lewis Hamilton,MERCEDES,1:17.633,1:17.166,1:16.173,17,5,2018,Catalunia
2,77,Valtteri Bottas,MERCEDES,1:17.674,1:17.111,1:16.213,14,5,2018,Catalunia
3,5,Sebastian Vettel,FERRARI,1:17.031,1:16.802,1:16.305,16,5,2018,Catalunia
4,7,Kimi Räikkönen,FERRARI,1:17.483,1:17.071,1:16.612,15,5,2018,Catalunia
5,33,Max Verstappen,RED BULL RACING TAG HEUER,1:17.411,1:17.266,1:16.816,15,5,2018,Catalunia
6,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:17.623,1:17.638,1:16.818,19,5,2018,Catalunia
7,20,Kevin Magnussen,HAAS FERRARI,1:18.169,1:17.618,1:17.676,27,5,2018,Catalunia
8,14,Fernando Alonso,MCLAREN RENAULT,1:18.276,1:18.100,1:17.721,21,5,2018,Catalunia
9,55,Carlos Sainz,RENAULT,1:18.480,1:17.803,1:17.790,19,5,2018,Catalunia
10,8,Romain Grosjean,HAAS FERRARI,1:18.305,1:17.699,1:17.835,26,5,2018,Catalunia
11,2,Stoffel Vandoorne,MCLAREN RENAULT,1:18.885,1:18.323,,18,5,2018,Catalunia
12,10,Pierre Gasly,SCUDERIA TORO ROSSO HONDA,1:18.550,1:18.463,,16,5,2018,Catalunia
13,31,Esteban Ocon,FORCE INDIA MERCEDES,1:18.813,1:18.696,,18,5,2018,Catalunia
14,16,Charles Leclerc,SAUBER FERRARI,1:18.661,1:18.910,,15,5,2018,Catalunia
15,11,Sergio Perez,FORCE INDIA MERCEDES,1:18.740,1:19.098,,18,5,2018,Catalunia
16,27,Nico Hulkenberg,RENAULT,1:18.923,,,6,5,2018,Catalunia
17,9,Marcus Ericsson,SAUBER FERRARI,1:19.493,,,9,5,2018,Catalunia
18,35,Sergey Sirotkin,WILLIAMS MERCEDES,1:19.695,,,10,5,2018,Catalunia
19,18,Lance Stroll,WILLIAMS MERCEDES,1:20.225,,,9,5,2018,Catalunia
20,28,Brendon Hartley,SCUDERIA TORO ROSSO HONDA,DNF,,,0,5,2018,Catalunia
1,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:12.013,1:11.278,1:10.810,17,6,2018,Monte-Carlo
2,5,Sebastian Vettel,FERRARI,1:12.415,1:11.518,1:11.039,21,6,2018,Monte-Carlo
3,44,Lewis Hamilton,MERCEDES,1:12.460,1:11.584,1:11.232,22,6,2018,Monte-Carlo
4,7,Kimi Räikkönen,FERRARI,1:12.639,1:11.391,1:11.266,22,6,2018,Monte-Carlo
5,77,Valtteri Bottas,MERCEDES,1:12.434,1:12.002,1:11.441,25,6,2018,Monte-Carlo
6,31,Esteban Ocon,FORCE INDIA MERCEDES,1:13.028,1:12.188,1:12.061,27,6,2018,Monte-Carlo
7,14,Fernando Alonso,MCLAREN RENAULT,1:12.657,1:12.269,1:12.110,26,6,2018,Monte-Carlo
8,55,Carlos Sainz,RENAULT,1:12.950,1:12.286,1:12.130,28,6,2018,Monte-Carlo
9,11,Sergio Perez,FORCE INDIA MERCEDES,1:12.848,1:12.194,1:12.154,23,6,2018,Monte-Carlo
10,10,Pierre Gasly,SCUDERIA TORO ROSSO HONDA,1:12.941,1:12.313,1:12.221,29,6,2018,Monte-Carlo
11,27,Nico Hulkenberg,RENAULT,1:13.065,1:12.411,,22,6,2018,Monte-Carlo
